image_id,original_caption,generated_caption
1785224814.jpg,"લોકો ખોરાકનો ઓર્ડર આપવા માટે લાઈનમાં રાહ જોઈ રહ્યા છે, જ્યારે અન્ય લોકો તેમનું ભોજન લઈને જતા રહ્યા છે.",એક દુકાનની બહાર ઘણા લોકો ઉભા છે.
1786425974.jpg,એક મોટો કૂતરો માનવ હાથ સુંઘી રહ્યો છે જ્યારે એક નાનો કૂતરો મોટા કૂતરાના નિતંબને સુંઘી રહ્યો છે.,એક કાળો કૂતરો અને એક કાળો કૂતરો ખેતરમાં છે.
1787222774.jpg,એક વાસ્તવિક પેટ્રોલ પંપ પર બે બાળકો લાલ રંગના વાહનમાં સવારી કરી રહ્યા છે.,એક નાનો છોકરો અને છોકરી લાલ કારમાં સવારી કરી રહ્યા છે.
17877225.jpg,જંગલ સાફ કરી રહેલા ત્રણ છોકરાઓ કેમેરાની બહાર કંઈક જોઈ રહ્યા છે.,ત્રણ બાળકો પાર્કમાં રમી રહ્યા છે.
1788886557.jpg,કાળા વસ્ત્રોમાં સજ્જ એક મહિલા રેલવે સ્ટેશન પર ઉભી છે અને બીજી બાજુ ટ્રેન ઉભી રહે છે.,કાળા પોશાક પહેરેલી એક સ્ત્રી ટ્રેનની રાહ જોઈ રહી છે.
1788892671.jpg,આછા વાદળી અને ઘેરા વાદળી રંગના જેકેટમાં બે મહિલાઓ ક્રોસવોક પર ચાલી રહી છે અને તેમની પાછળ ફૂટપાથ પર એક નકલી વિશાળ ઉંદર ઉભો છે.,વાદળી શર્ટ પહેરેલો એક માણસ ફૂટપાથ પર ચાલી રહ્યો છે.
1789111454.jpg,"હેલ્મેટ અને અન્ય રક્ષણાત્મક સાધનોથી સુરક્ષિત એક માણસ, લાલ એક-વ્યક્તિના કાયકમાં ઉબડખાબડ રેપિડ્સ પર નીચે ઉતરવા માટે સંઘર્ષ કરી રહ્યો છે.",એક માણસ સફેદ પાણીમાં કાયાકિંગ કરી રહ્યો છે.
178935935.jpg,કાળા પેન્ટ અને સફેદ શર્ટ પહેરેલો એક માણસ એક ઇમારતની સામે ઉભો છે જેના પર કોઈ પ્રકારના એશિયન અક્ષરો લખેલા છે.,સફેદ શર્ટ પહેરેલો એક માણસ બહાર ઉભો છે.
178977151.jpg,કોઈ પ્રકારની પ્રતિમા કે સ્મારક પર રમતા વિદેશી બાળકો.,ગુલાબી પોશાક પહેરેલી એક નાની છોકરી પીળા રંગના પોશાક પહેરેલા એક પુરુષ સાથે રમી રહી છે.
178980177.jpg,વાદળી અને સફેદ જેકેટ પહેરેલો એક છોકરો વાદળી ટોપી પહેરેલી છોકરીને લાલ ટોપી પહેરેલી છોકરીને ઘોડા પર બેસાડવામાં મદદ કરે છે.,ત્રણ બાળકો ઘોડા પર સવારી કરી રહ્યા છે.
179009558.jpg,"લાલ સ્વેટશર્ટ, જીન્સ અને કાળા બાઇક હેલ્મેટ પહેરેલો એક બાળક અને બહાર ફોટો માટે પોઝ આપતો કૂતરો.",લાલ શર્ટ અને વાદળી જીન્સ પહેરેલી એક યુવાન છોકરી તેની સાયકલ પર બેઠી છે.
179081851.jpg,એક સ્ત્રીના ખભા ઉપર ભૂરા વાળવાળું એક નાનું બાળક દેખાય છે.,એક નાની છોકરી કેમેરા તરફ જોઈ રહી છે.
179122558.jpg,કાળા અને સોનાના કિલ્ટેડ યુનિફોર્મમાં પુરુષો ઘાસવાળા બગીચામાં બેગપાઈપ સાથે વર્તુળમાં ઉભા છે.,લાલ પોશાક પહેરેલા ઘણા લોકો બહાર ઉભા છે.
1791491934.jpg,વાદળી લાંબી બાંયનો શર્ટ અને પેટર્નવાળા પેન્ટ પહેરેલો એક એશિયન માણસ એક જૂના દેખાતા મશીન સાથે કામ કરી રહ્યો છે.,એક માણસ મશીન પર કામ કરી રહ્યો છે.
179172576.jpg,કેનેડિયન લશ્કરી થાક પહેરેલા ત્રણ માણસો અને વાદળી શોર્ટ્સ અને લાલ ટી-શર્ટ પહેરેલો ચોથો માણસ બાજુ-બાજુ ઊભો છે; બે માણસો રિબન કાપવા માટે કાતર રાખે છે.,"લશ્કરી ગણવેશમાં બે માણસો, એક લાલ શર્ટ પહેરેલો અને બીજો સફેદ શર્ટ પહેરેલો, એક માણસ લાલ શર્ટ પહેરેલો."
179214616.jpg,"એક માણસ, કેમેરા તરફ પીઠ રાખીને ઊભો છે, બીજા માણસનું ફિલ્માંકન કરે છે, તેની સામે, પૃષ્ઠભૂમિમાં સફેદ રાખના ઝાડ સાથે, નોટબુકમાં કામ કરી રહ્યો છે.",એક માણસ પોતાના ફોન પર વાત કરી રહ્યો છે.
1793982293.jpg,"બે વૃદ્ધ પુરુષો અને એક યુવતી એક બેન્ચ પર બેઠા છે, જેની ટોચ પર ત્રિકોણ અને બે અર્ધગોળા છે.",ત્રણ માણસો બહાર બેઠા છે.
1794098993.jpg,હેલોવીન પોશાક પહેરેલા ઘણા નાના બાળકો આઉટડોર ઇવેન્ટ જોઈ રહ્યા છે.,લોકોનો એક સમૂહ જમીન પર બેઠો છે.
1794818900.jpg,વાદળી કોટ પહેરેલી છોકરી રમતના મેદાનમાં લાકડાના રોકિંગ રમકડા પર ઉભી છે.,લાલ સ્કૂટર પર એક છોકરી.
1794856976.jpg,એક માણસ રેકોર્ડ શોપની બહાર ફૂટપાથ પર ચાલી રહ્યો છે જ્યારે એક વ્યક્તિ નજીકમાં બેઠો છે અને ફોટા લઈ રહ્યો છે.,સબવે સ્ટેશન પર રાહ જોઈ રહેલા લોકો.
179486571.jpg,"નારંગી શર્ટ પહેરેલો માણસ, ટેટૂ સાથે બે મોટા પૂડલ્સ સાથે ચાલી રહ્યો છે.",લાલ શર્ટ પહેરેલો એક માણસ સફેદ કૂતરા સાથે રમી રહ્યો છે.
179510508.jpg,"વાદળી ડ્રેસમાં એક યુવાન એશિયન છોકરી, લગભગ છ વર્ષની, લાકડાના વાડ અને આંગણાની સરહદે આવેલા કેટલાક ઝાડીઓ અને ઝાડીઓની સામે સારી રીતે કાપેલા લૉન પર ઉભી રહીને, તેની કમરની આસપાસ ગુલાબી હુલા હૂપ ફેરવી રહી છે.",એક નાની છોકરી લાલ હુલા હૂપ સાથે રમે છે.
1795151944.jpg,છ હસ્કી ઘાસમાંથી ત્રણ પૈડાવાળા વાહનને ખેંચી રહ્યા છે.,લાલ શર્ટ પહેરેલી એક સ્ત્રી તેના કૂતરાને પટ્ટા પર લઈ જઈ રહી છે.
179620911.jpg,"લાલ શર્ટ અને લાંબા કાળા વાળવાળો એક માણસ ગ્રે પથ્થરની દિવાલ પાસે ગ્રે ડોક પર વાદળી અને સફેદ પટ્ટાવાળી છત્રી નીચે સ્ટીલના ડ્રમ્સ વગાડી રહ્યો છે, જ્યારે પસાર થતા લોકો અને નજીકના ટેબલ પર બેઠેલા લોકો સાંભળે છે.",લાલ અને સફેદ છત્રી નીચે બેઠેલા લોકો.
1796521614.jpg,ગ્રે અને કાળા શર્ટ અને વાદળી જીન્સ પહેરેલો એક માણસ ફૂલેલા તેજસ્વી રંગના રમકડાં વેચે છે.,લાલ ટોપી પહેરેલો એક માણસ શેરીમાં ચાલી રહ્યો છે.
179656683.jpg,ગુલાબી ટોપી પહેરેલી એક સ્ત્રી સફેદ ટોપી પહેરેલા એક પુરુષનો હાથ પકડીને રસ્તા પર ચાલી રહી છે.,ત્રણ સ્ત્રીઓ અને એક પુરુષ એક દુકાનની બહાર ઉભા છે.
1796608106.jpg,ભૂરા રંગના બાથિંગ સૂટમાં પોનીટેલવાળી સ્ત્રી કિનારા પર રેતીનો કિલ્લો બનાવી રહી છે.,એક સ્ત્રી રેતીમાં ખોદકામ કરી રહી છે.
179686172.jpg,દરેક વ્યક્તિ તે માણસ તરફ જોઈ રહી છે જે લાકડી વડે કંઈક ખેંચવાનો પ્રયાસ કરી રહ્યો છે.,ત્રણ લોકો ઘરની છત સાફ કરી રહ્યા છે.
179686689.jpg,ટ્યુડર શૈલીની ઇમારતની સામે બે લોકો ટેબલ અને ખુરશીઓ પાસે થોભ્યા છે અને તેમના પગ પાસે કંઈક તપાસી રહ્યા છે.,ત્રણ લોકો ઘરની બહાર ઉભા છે.
179717373.jpg,"એક યુવાન છોકરી આછા વાદળી રંગનો ડ્રેસ પહેરેલી છે અને એક યુવાન છોકરો નેવી પેન્ટ અને પીળો શર્ટ પહેરેલો છે, જે એક એવિએશન મ્યુઝિયમના મેદાનમાં બેઠેલા વિમાનના કોકપીટના પગથિયાં ચઢી રહ્યો છે.",બે નાના છોકરાઓ સીડી પરથી નીચે ઉતરી રહ્યા છે.
1797436026.jpg,"એક હોકી ગોલકીપર અને બે અન્ય ખેલાડીઓ ગોલની સામે છે, અને પક આગળ છે.",બે હોકી ખેલાડીઓ પક માટે લડી રહ્યા છે.
1797507760.jpg,ચાર શર્ટલેસ માણસો એક ખીણમાં ચઢાણ કરી રહ્યા છે.,પર્વતની ટોચ પર ત્રણ માણસો.
1797554350.jpg,૧૩૪૦૬ નંબર પહેરીને દોડતી એક મહિલા માટે ગુલાબી અને ભૂરા રંગની છત્રી પકડીને બેઠી છે.,એક પુરુષ અને એક સ્ત્રી રસ્તા પર દોડી રહ્યા છે.
179778822.jpg,"સોનેરી વાળ, પીળો શર્ટ અને પીળા કપવાળી એક નાની છોકરી અરીસામાં જોઈ રહી છે, તેની પાછળ પીળો શર્ટ અને લાલ ચડ્ડી પહેરેલી એક સ્ત્રી છે.",પીળા શર્ટ પહેરેલી એક નાની છોકરી અરીસામાં જોઈ રહી છે.
1798089612.jpg,ઉપરથી ધુમાડો નીકળતી લાલ લાકડીઓ પકડીને એક ગંભીર દેખાતી એશિયન મહિલા.,ગુલાબી શર્ટ પહેરેલી એક સ્ત્રી બહાર ઉભી છે.
1798209205.jpg,એક સોનેરી સ્ત્રી એક ઝાંખા રેસ્ટોરન્ટમાં વાઇનનો ગ્લાસ રેડી રહી છે.,લાલ વાળવાળી એક સ્ત્રી ટેબલ પર બેઠી છે.
1798215547.jpg,કાળા રંગનો એક નાનો છોકરો મોં ખુલ્લું રાખીને ટેન ટ્યુબ નીચે સરકે છે.,એક નાનો છોકરો સ્લાઇડ નીચે જઈ રહ્યો છે.
179828434.jpg,એક નાનો છોકરો વાદળી અને સફેદ શર્ટ પહેરીને એક રમકડાનું પ્રાણી પકડી રહ્યો છે જે કાં તો મગર છે કે પછી મગર.,વાદળી શર્ટ પહેરેલો એક નાનો છોકરો એક નાના બાળકને પકડી રાખે છે.
179829865.jpg,લાલ લાઇફ જેકેટ પહેરેલો એક વોટરસ્કીયર પાણીમાં ખેંચાવાની રાહ જોઈને લાઇન પકડી રહ્યો છે.,એક માણસ પાણીમાં સૂઈ રહ્યો છે.
1799165532.jpg,એક સ્ત્રી ઘરમાં એક બાળકને ઈશારો કરે છે જ્યારે આસપાસના લોકો તેને જોઈ રહ્યા છે.,એક સ્ત્રી એક નાના છોકરાને ગળે લગાવી રહી છે.
1799188614.jpg,એક નાનો છોકરો દરિયા કિનારા પર એક સીગલ તરફ ચાલી રહ્યો છે.,એક નાનો છોકરો દરિયા કિનારે દોડી રહ્યો છે.
1799256185.jpg,"ભીડના ક્લોઝઅપ સાથે એક દેખીતી રાજકીય ઘટના બતાવવામાં આવી છે, જેમાં જાંબલી શર્ટ પહેરેલા એક આધેડ વયના માણસ પર ધ્યાન કેન્દ્રિત કરવામાં આવ્યું છે, જેમાં એક વ્યક્તિ તેની જમણી બાજુ કેનેપ્સની થાળી અને પાછળ ડાબી બાજુ 'હિલેરી' ઝુંબેશનું ચિહ્ન લહેરાવી રહ્યો છે.",લાલ શર્ટ પહેરેલો એક માણસ બીજા માણસ સાથે વાત કરી રહ્યો છે.
1799271536.jpg,દરિયા કિનારે રેતીમાં દોડતું એક પ્રાણી.,એક કૂતરો દરિયા કિનારે દોડી રહ્યો છે.
1799847835.jpg,"લાલ રંગનો એક છોકરો વાદળી બોલને હૂપમાં ફેંકવાની તૈયારી કરે છે, જ્યારે અન્ય લોકો જોઈ રહ્યા છે.",લાલ શર્ટ પહેરેલો એક માણસ વોલીબોલ રમી રહ્યો છે.
180027584.jpg,લોકો ફરતા હોય છે અને એક મહિલા બાળકની ગાડી પર ઝૂકી રહી હોય છે જ્યારે પૃષ્ઠભૂમિમાં મોટી ભીડ દેખાય છે.,લોકોનું એક જૂથ બહાર ઊભું છે.
1800601130.jpg,કોયોટ જેવો દેખાતો કૂતરો ટેનિસ બોલને પકડવા માટે ઘાસના મેદાન પર હવામાં કૂદી પડે છે.,એક ભૂરા રંગનો કૂતરો હવામાં કૂદી રહ્યો છે.
1800739200.jpg,લોકો જાહેર પરિવહનમાં સવારી માટે તેમના હેડફોન પકડીને સાંભળી રહ્યા છે.,બસમાં બેઠેલા લોકો.
1800778962.jpg,"લોકોનું એક જૂથ ફરતું હતું, એક માણસ એક બાળકને માથા ઉપર ઊંચકીને બેઠો હતો અને બીજા લોકો સીડીઓ નીચે ઉતરી રહ્યા હતા.",લોકોનો એક સમૂહ પગથિયાં પર ઊભો છે.
180094434.jpg,ઓફિસ બિલ્ડિંગના આંગણામાં ત્રણ છોકરાઓ ફુવારાની આસપાસ રમે છે.,ત્રણ બાળકો બહાર રમી રહ્યા છે.
1801063894.jpg,પીળા રંગના બાથિંગ સૂટમાં એક સ્ત્રી કોઈની સાથે જોડાવા માટે પાણીમાં કૂદવાની તૈયારી કરી રહી છે.,પીળા રંગના બાથિંગ સૂટમાં એક સ્ત્રી ખડક પર બેઠી છે.
1801188148.jpg,ચાર કૂતરા ઘાસ અને પાંદડાવાળા મેદાન પર એકસાથે રમે છે.,ત્રણ કૂતરા ઘાસમાં રમે છે.
1801283994.jpg,એક પિતા પોતાના પુત્ર કર્ટનું અવલોકન કરી રહ્યા છે કે શું તેમની શિક્ષા કર્ટને પહેલી વાર રેઝરથી દાઢી કરતી વખતે પોતાને કાપતા અટકાવે છે.,એક પુરુષ અને એક સ્ત્રી અરીસામાં જોઈ રહ્યા છે.
180146696.jpg,લાલ હૂડવાળા સ્વેટશર્ટ પહેરેલો માણસ પાછળ જુએ છે અને હિબ્રુ અક્ષરોવાળી દુકાન પર બાંધકામ ચાલી રહ્યું છે.,શહેરના ફૂટપાથ પર ચાલતા લોકો.
180150786.jpg,"નાના ઉપનગરીય વિસ્તારમાં જ્યાં ખૂણા પર બાંધકામ ચાલી રહ્યું છે, ત્યાં માણસો રસ્તાની બાજુમાં ઉભા છે.",નારંગી રંગના જેકેટ પહેરેલા બે માણસો રસ્તા પર ચાલી રહ્યા છે.
1801663973.jpg,કાળા પોશાક પહેરેલી લાંબા ગુલાબી વાળવાળી એક મોટી સ્ત્રી ઝાડના થડ પર સૂઈને તેની બાજુમાં બેઠેલા એક પુરુષ સાથે વાત કરી રહી છે.,બે સ્ત્રીઓ એક ઝાડ પર બેઠી છે.
1801697440.jpg,સફેદ ટેન્ક શર્ટ પહેરેલો એક માણસ લેપટોપ પકડીને સફેદ સ્તંભની બાજુમાં બેઠો છે અને તેની ઉપર એક પ્રતિમા છે.,એક માણસ પ્રતિમા પાસે ઉભો છે.
1801874841.jpg,નાનો કૂતરો તેના મોંથી બેડરૂમના ચંપલને પકડી લે છે.,એક નાનો કૂતરો જમીન પર પડેલો છે.
1802092493.jpg,"ચાર નાના બાળકો ઔપચારિક પોશાક પહેરીને પોટ્રેટ માટે પોઝ આપી રહ્યા છે, જેમાં બે છોકરાઓ આગળ ઉભા છે અને બે છોકરીઓ પાછળ હસતી છે.",ત્રણ નાના બાળકો સાથે પોઝ આપી રહ્યા છે.
180209719.jpg,એક સુશી રેસ્ટોરન્ટ જેમાં એક માણસ રસોઈ બનાવી રહ્યો છે અને પૃષ્ઠભૂમિમાં એક માણસ અને એક યુવાન છોકરો ટેબલ પર બેઠા છે.,એક માણસ આગ પર રસોઈ બનાવી રહ્યો છે.
180217379.jpg,"એક પુખ્ત વયના અને એક બાળક, બંનેએ ટોપી પહેરી છે, બહાર પાંજરામાં કાળા અને સફેદ કૂકડાને જોઈ રહ્યા છે.",એક સ્ત્રી અને એક બાળક શોપિંગ કાર્ટ પાસે ઉભા છે.
1802509657.jpg,"કાળો શર્ટ અને વાદળી જીન્સ પહેરેલો એક માણસ હવામાં ઉંચો છે, બંને હાથમાં પ્લાયવુડ પકડીને એક ઇમારતની સામે છે જેના પર """" સ્ટોમ્પ """" શબ્દ લખેલો છે.",કાળા શર્ટ પહેરેલો એક માણસ હવામાં કૂદી રહ્યો છે.
180312736.jpg,ગ્રે સોફાની સામે સફેદ કાર્પેટ પર બે ખૂબ જ નાના છોકરાઓ અને એક પુખ્ત વયના મોટા પ્રિસ્કુલ લેગો અને લાલ વાનગી આકારના રમતના ગાદી સાથે રમી રહ્યા છે જે બોલથી ભરેલા છે.,બે નાના છોકરાઓ સોફા પર રમે છે.
1803299842.jpg,"બે માણસો એપાર્ટમેન્ટની બહાર બેસીને બોર્ડ ગેમ રમી રહ્યા છે, જ્યારે ત્રીજો માણસ જુએ છે.",ત્રણ માણસો ફૂટપાથ પર ચાલી રહ્યા છે.
180361087.jpg,સફેદ રંગની એક સ્ત્રી લાલ રંગની સ્મૉક પહેરેલી સ્ત્રીના વાળ કાપી નાખે છે.,એક સ્ત્રી બીજી સ્ત્રીના વાળ કાપી રહી છે.
180362495.jpg,"પહેલી યુવતી તેના વાળ કાપે છે ત્યારે કાળા બ્લાઉઝ, વાદળી જીન્સ અને સેન્ડલ પહેરેલી એક યુવતી બીજી યુવતીની પાછળ ઉભી છે. યુવતી લાલ પોંચો પહેરીને બેઠી છે.",કાળા શર્ટ અને જીન્સ પહેરેલી એક સ્ત્રી બીજી સ્ત્રીના વાળ કાપી રહી છે.
180362693.jpg,ડાર્ક શર્ટવાળી માદા લાલ શર્ટમાં માદાના વાળ કાપે છે.,એક સ્ત્રી વાળ કાપી રહી છે.
1803631090.jpg,ફાયર વિભાગનો યુનિફોર્મ પહેરેલી સ્ત્રી લોકો સાથે વાત કરી રહી છે.,"વાદળી શર્ટ પહેરેલી એક સ્ત્રી """" લખેલું બોર્ડ પકડી રાખે છે."
1804144683.jpg,"એક કલાકાર પોતાની સમકાલીન દેખાતી કલાકૃતિ પર કામ કરી રહ્યો છે, અને હાથમાં રહેલા કામ પર ખૂબ જ ધ્યાન કેન્દ્રિત કરી રહ્યો છે.",એક માણસ દિવાલ પર ચિત્રકામ કરી રહ્યો છે.
180476372.jpg,"એક એવી શેરી જ્યાં એક દુકાન છે જેની બહાર """" બ્લેકર સ્ટ્રીટ રેકોર્ડ્સ """" લખેલું બોર્ડ છે.",શહેરની શેરીમાં ચાલતા લોકો.
180506881.jpg,સફેદ શર્ટ અને જીન્સ પહેરેલા બે લોકો દરેક સ્કેટબોર્ડ સાથે છે,ગ્રે શર્ટ પહેરેલો એક માણસ ફૂટપાથ પર ચાલી રહ્યો છે.
180524168.jpg,આછા અને ઘેરા લીલા રંગના ડ્રેસમાં એક બાળક ટાઇપરાઇટરની સામે ખુરશી પર બેઠેલું છે અને કેમેરાની બહાર જોઈ રહ્યું છે.,એક નાનો છોકરો કમ્પ્યુટર પર બેઠો છે.
1805628702.jpg,જાંબલી રંગના કેપ પહેરેલો એક દાઢીવાળો માણસ હેર ડ્રાયર પાસે વાળ કાપતો હોય છે.,એક માણસ વાળ કાપી રહ્યો છે.
18056405.jpg,કાળા પોશાક પહેરેલો એક માણસ સબવે સ્ટેશનની એક સીટ પર બેઠો છે જેની જમીન પર એક ખુલ્લી કાળી છત્રી પડેલી છે.,સબવે સ્ટેશન પર એક માણસ બેઠો છે.
1805677013.jpg,"ભૂરા વાળવાળી એક સ્ત્રી, કાળા અને સફેદ પટ્ટાવાળા ટેન્ક ટોપ પહેરીને, પૂલમાં થાંભલો પકડીને.",એક સ્ત્રી પૂલ સાફ કરી રહી છે.
1805990081.jpg,એક છોકરો ગુલાબી પટ્ટાવાળા સફેદ કૂતરાને લઈ જતી વખતે હાથ વડે ઈશારો કરે છે.,એક નાનો છોકરો તેના કૂતરાને ફરવા લઈ જઈ રહ્યો છે.
1806088665.jpg,એક નાનો છોકરો હેન્ડલ પકડીને મેરી-ગો રાઉન્ડની બાજુમાં દોડી રહ્યો છે.,એક નાનો છોકરો રમતના મેદાનમાં રમી રહ્યો છે.
1806580620.jpg,કાળા ચશ્મા અને વાદળી જીન્સ જેકેટ પહેરેલી છોકરી હસતી હોય છે.,સનગ્લાસ પહેરેલી એક સ્ત્રી સ્મિત કરે છે.
1807169176.jpg,રાત્રે એક મોટી કેમ્પફાયર જેની આસપાસ ઘણા લોકો બેઠા હોય છે.,રાત્રે આગ પાસે બેઠેલા લોકો.
1807463181.jpg,નારંગી રંગના જેકેટ પહેરેલા બે કામદારો બહાર બારીઓ સાફ કરી રહ્યા છે જ્યારે બીજા જોઈ રહ્યા છે.,નારંગી રંગના જેકેટ પહેરેલા ત્રણ માણસો સબવે પર કામ કરી રહ્યા છે.
180753784.jpg,"લોકોનું એક જૂથ બધા પોશાક પહેરીને રસ્તા પર કૂચ કરી રહ્યું છે, વાજિંત્રો વગાડી રહ્યું છે, ધ્વજ અને અન્ય સાધનો પકડી રહ્યું છે.",સફેદ પોશાક પહેરેલા પુરુષોનું એક જૂથ કૂચ કરી રહ્યું છે.
1808007704.jpg,લાલ શર્ટ પહેરેલો એક માણસ તેની નીચે બે પુરૂષ સ્પોટર્સ સાથે એક ખડક પરથી બીજા મોટા રોકરમાં કૂદી રહ્યો છે.,ત્રણ લોકો એક મોટા ખડક પરથી નીચે ઉતરી રહ્યા છે.
1808370027.jpg,કૂતરો પાણીમાં તરીને ધોધ તરફ જાય છે.,એક કૂતરો પાણીમાં તરી રહ્યો છે.
1808504612.jpg,બે બાળકો એક લીલા ઝાડ પરથી નીચે જુએ છે જેના પર તેઓ ચઢ્યા છે.,બે બાળકો ઝાડ પર ચઢી રહ્યા છે.
1809476783.jpg,બે સફેદ ઘોડાઓ દ્વારા ખેંચાતી સફેદ ગાડીની બાજુમાં સૂટ પહેરેલો એક માણસ ઉભો છે જ્યારે એક દુલ્હન અંદર બેઠી છે.,એક કન્યા અને વરરાજા તેમના લગ્નના પોશાકમાં સજ્જ છે.
1809758121.jpg,નદી કિનારે દોડતી વખતે એક છોકરી હવામાં કૂદી પડે છે.,એક છોકરો પાણીમાં કૂદી પડે છે.
1809796012.jpg,ખુરશીની સામે ગાલીચા પર પાછળના પગે ઊભો રહેલો એક કાળો અને સફેદ કૂતરો.,એક કાળો અને સફેદ કૂતરો સોફા પર બેઠો છે.
1809926566.jpg,એક મોટા ઓરડામાં લાકડાના ફ્લોર પર બેઠેલી યુવાન છોકરીઓનું એક જૂથ.,બાળકો ફ્લોર પર બેઠા છે.
18105594.jpg,વાદળી ટૂંકા અને પીળા શર્ટનો યુનિફોર્મ પહેરેલી એક છોકરી પીળા રંગનો સોફ્ટબોલ ફેંકી રહી છે જ્યારે કાળા અને લાલ રંગના ટૂંકા યુનિફોર્મ અને લાલ હેલ્મેટ પહેરેલી એક છોકરી દોડી રહી છે.,બે છોકરીઓ સોફ્ટબોલ રમી રહી છે.
1810651611.jpg,ગુલાબી અને સફેદ ફૂલોવાળા ડ્રેસ અને વાદળી સ્વેટર પહેરેલી એક નાની છોકરી ઝૂલતી.,એક નાની છોકરી ઝૂલા પર ઝૂલી રહી છે.
181103691.jpg,બાળકો એક મોટા મશીનના પાણીના છંટકાવ હેઠળ શેરીમાં રમે છે.,બાળકો ફુવારામાં રમે છે.
18111123.jpg,યુવાન એશિયન છોકરી જે બાળકોના આઉટડોર રમતના મેદાનમાં અસ્વસ્થ દેખાય છે.,બે છોકરીઓ રમતના મેદાનમાં રમી રહી છે.
181157221.jpg,બે કૂતરા એકબીજા સુધી પહોંચવાનો પ્રયાસ કરે છે જ્યારે તેમના માનવ સાથીઓ તેમના પટ્ટા વડે તેમને વિરુદ્ધ દિશામાં ખેંચે છે.,એક માણસ કૂતરાને પટ્ટા પર લઈ જઈ રહ્યો છે.
181172072.jpg,"ભૂરા આંખોવાળા, લાલ ફ્લીસ ઝિપ-અપ જેકેટમાં, તર્જની પર મોનાર્ક બટરફ્લાય પકડી રાખેલા, એક યુવાન કોકેશિયન છોકરાનો ક્લોઝઅપ.","લાલ પોશાક પહેરેલો એક નાનો છોકરો, જેના ચહેરા પર લાલ અને નારંગી રંગનો પોશાક છે."
18119750.jpg,લીલો સ્વેટશર્ટ અને જીન્સ પહેરેલી એક મહિલા જમીન પર બેઠી છે અને ટેનિસ રેકેટથી ટેનિસ બોલ પર હુમલો કરે છે.,લીલા રંગના જેકેટમાં એક માણસ ઘાસ પર બેઠો છે.
1812525037.jpg,"બે નાના બાળકો કાળા અને સફેદ ચહેરાના રંગ અને કોસ્ચ્યુમમાં છે જ્યારે તેઓ સ્ટ્રોલરમાં સવારી કરે છે, તેમને એક માણસ દ્વારા ધક્કો મારી રહ્યો છે જે ચહેરાના રંગ અને કોસ્ચ્યુમમાં પણ છે.",બે નાના છોકરાઓ અને એક છોકરી કાળા પોશાક પહેરેલા છે.
1813069437.jpg,સફેદ પાઘડી પહેરેલો શર્ટલેસ માણસ ઝાડના થડ પર ચઢી રહ્યો છે.,એક શર્ટલેસ માણસ ઝાડ પર ચઢી રહ્યો છે.
1813266419.jpg,"વળેલું જીન્સ, પટ્ટાવાળું શર્ટ અને હેલ્મેટ પહેરેલું એક બાળક સ્પ્રિંકલરમાં મજા કરી રહ્યું છે.",એક નાનો છોકરો પાણીમાં કૂદી પડે છે.
181343499.jpg,"લોકોનું એક જૂથ સફેદ ટ્રીમિંગ અને થાંભલાવાળી પીળી ઇમારત પાસે બેસે છે અથવા ચાલે છે, અને તેની પાસે બે બાઇક પાર્ક કરેલી છે.",એક ઇમારતની સામે પગથિયાં પર બેઠેલા લોકો.
1813597483.jpg,"એક મોટો, કાળો કૂતરો ઝાડીઓથી ઘેરાયેલી લાકડાની વાડ પર ચઢી રહ્યો છે.",એક કાળો કૂતરો લાકડાના લાકડા પર ચઢી રહ્યો છે.
1813777902.jpg,એક નાનો છોકરો ચાંચિયાનો પોશાક પહેરીને દોડી રહ્યો છે.,એક છોકરો કેમેરા સામે સ્મિત કરે છે.
1814086703.jpg,બે કૂતરા ઘાસ પર એકબીજાની બાજુમાં દોડી રહ્યા છે.,એક ભૂરા રંગનો કૂતરો અને એક નાનો ભૂરો કૂતરો જંગલમાં દોડી રહ્યા છે.
181415975.jpg,પૃષ્ઠભૂમિમાં ઊંચાઈ અને વાદળી પાણી સાથે વેકબોર્ડ પર હવામાં ઉડતો માણસ.,એક વેકબોર્ડર હવામાં ઉડી રહ્યો છે.
1814372530.jpg,"ચાર યુવકો, એક સંપૂર્ણ પોશાક પહેરેલો અને બેઠો છે, અને ત્રણ કાળા સ્વિમ ટ્રંકમાં - બે ઉભા છે, એક બેઠો છે - તેજસ્વી પેઇન્ટેડ રેલિંગવાળા થાંભલા પર છે.",એક માણસ અને બે છોકરાઓ પાણીમાં રમી રહ્યા છે.
1814391289.jpg,એક નાનો બાળક પોશાક પહેરીને ગ્રે રંગના ઘરના દરવાજાની ઘંટડી વગાડે છે.,નારંગી રંગનો વેસ્ટ પહેરેલો એક માણસ બારીમાંથી બહાર જોઈ રહ્યો છે.
181465013.jpg,એક નાના સ્ટેજ પાસે કોંક્રિટની સપાટી પર એક શર્ટલેસ છોકરો અને લીલા અને સફેદ રંગના કપડાં પહેરેલા એક છોકરો રમી રહ્યા છે.,બે નાના છોકરાઓ પાલખ પર ઉભા છે.
1815242986.jpg,ડેનિમ જમ્પર પહેરેલી એક મહિલા અને નેવી બ્લુ જેકેટ પહેરેલી બીજી એક મહિલા પર્વતમાળા જોઈ રહી છે.,એક પુરુષ અને સ્ત્રી પર્વતો તરફ જોઈ રહ્યા છે.
